Year,Month,Day,Hour,concrete_temp
2016,December,18,23,6.36
2016,December,19,0,6.47
2016,December,19,1,6.53
2016,December,19,2,6.27
2016,December,19,3,6.17
2016,December,19,4,6.18
2016,December,19,5,6.27
2016,December,19,6,6.29
2016,December,19,7,6.31
2016,December,19,8,6.3
2016,December,19,9,6.41
2016,December,19,10,7.16
2016,December,19,11,7.69
2016,December,19,12,8.31
2016,December,19,13,8.2
2016,December,19,14,8.33
2016,December,19,15,7.76
2016,December,19,16,7.24
2016,December,19,17,6.85
2016,December,19,18,6.94
2016,December,19,19,7.05
2016,December,19,20,6.81
2016,December,19,21,7.14
2016,December,19,22,7.02
2016,December,19,23,7.18
2016,December,20,0,7.07
2016,December,20,1,6.61
2016,December,20,2,6.48
2016,December,20,3,6.28
2016,December,20,4,5.86
2016,December,20,5,5.31
2016,December,20,6,5.47
2016,December,20,7,5.42
2016,December,20,8,5.03
2016,December,20,9,4.88
2016,December,20,10,6.06
2016,December,20,11,7.1
2016,December,20,12,7.05
2016,December,20,13,6.67
2016,December,20,14,5.31
2016,December,20,15,4.56
2016,December,20,16,3.97
2016,December,20,17,3.91
2016,December,20,18,3.45
2016,December,20,19,3.98
2016,December,20,20,4.28
2016,December,20,21,4.5
2016,December,20,22,4.29
2016,December,20,23,4.47
2016,December,21,0,4.67
2016,December,21,1,4.84
2016,December,21,2,4.93
2016,December,21,3,4.87
2016,December,21,4,5.16
2016,December,21,5,5.01
2016,December,21,6,4.68
2016,December,21,7,5.12
2016,December,21,8,5.41
2016,December,21,9,5.29
2016,December,21,10,4.96
2016,December,21,11,5.54
2016,December,21,12,6.15
2016,December,21,13,6.9
2016,December,21,14,7.9
2016,December,21,15,5.72
2016,December,21,16,4.8
2016,December,21,17,4.67
2016,December,21,18,4.86
2016,December,21,19,3.9
2016,December,21,20,3.07
2016,December,21,21,2.67
2016,December,21,22,2.74
2016,December,21,23,2.71
2016,December,22,0,2.29
2016,December,22,1,2.47
2016,December,22,2,2.7
2016,December,22,3,3.24
2016,December,22,4,3.04
2016,December,22,5,3.27
2016,December,22,6,3.95
2016,December,22,7,3.55
2016,December,22,8,4.68
2016,December,22,9,5.49
2016,December,22,10,6.85
2016,December,22,11,6.97
2016,December,22,12,7.31
2016,December,22,13,6.9
2016,December,22,14,6.88
2016,December,22,15,6.07
2016,December,22,16,5.33
2016,December,22,17,6.16
2016,December,22,18,5.91
2016,December,22,19,5.96
2016,December,22,20,6.3
2016,December,22,21,5.95
2016,December,22,22,6.43
2016,December,22,23,6.15
2016,December,23,0,5.64
2016,December,23,1,5.18
2016,December,23,2,4.93
2016,December,23,3,4.8
2016,December,23,4,5.1
2016,December,23,5,5.37
2016,December,23,6,5.18
2016,December,23,7,5.48
2016,December,23,8,6.08
2016,December,23,9,6.76
2016,December,23,10,7.29
2016,December,23,11,7.54
2016,December,23,12,7.62
2016,December,23,13,8.1
2016,December,23,14,8.58
2016,December,23,15,6.65
2016,December,23,16,6.87
2016,December,23,17,6.03
2016,December,23,18,5.72
2016,December,23,19,5.52
2016,December,23,20,5.97
2016,December,23,21,5.18
2016,December,23,22,4.92
2016,December,23,23,4.4
2016,December,24,0,4.76
2016,December,24,1,5.74
2016,December,24,2,6.12
2016,December,24,3,6.37
2016,December,24,4,5.56
2016,December,24,5,5.11
2016,December,24,6,5.48
2016,December,24,7,5.61
2016,December,24,8,5.6
2016,December,24,9,5.81
2016,December,24,10,6.39
2016,December,24,11,7.58
2016,December,24,12,7.75
2016,December,24,13,7.79
2016,December,24,14,7.5
2016,December,24,15,7.18
2016,December,24,16,7.04
2016,December,24,17,7.24
2016,December,24,18,7.54
2016,December,24,19,7.53
2016,December,24,20,7.67
2016,December,24,21,7.97
2016,December,24,22,8.2
2016,December,24,23,8.49
2016,December,25,0,8.66
2016,December,25,1,8.97
2016,December,25,2,9.18
2016,December,25,3,9.42
2016,December,25,4,9.47
2016,December,25,5,9.58
2016,December,25,6,9.81
2016,December,25,7,9.82
2016,December,25,8,9.95
2016,December,25,9,10.1
2016,December,25,10,10.19
2016,December,25,11,10.16
2016,December,25,12,10.55
2016,December,25,13,10.86
2016,December,25,14,10.77
2016,December,25,15,10.75
2016,December,25,16,10.71
2016,December,25,17,10.52
2016,December,25,18,8.68
2016,December,25,19,7.74
2016,December,25,20,7.48
2016,December,25,21,7.18
2016,December,25,22,6.8
2016,December,25,23,6.79
2016,December,26,0,6.15
2016,December,26,1,6.45
2016,December,26,2,6.8
2016,December,26,3,5.34
2016,December,26,4,5.38
2016,December,26,5,4.98
2016,December,26,6,5.09
2016,December,26,7,4.53
2016,December,26,8,5.03
2016,December,26,9,5.33
2016,December,26,10,6.19
2016,December,26,11,7.12
2016,December,26,12,7.91
2016,December,26,13,8.93
2016,December,26,14,7.84
2016,December,26,15,6.42
2016,December,26,16,5.51
2016,December,26,17,5.39
