Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2017,May,8,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.13
2017,May,8,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.76
2017,May,8,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.52
2017,May,8,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.26
2017,May,8,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.55
2017,May,8,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9
2017,May,8,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.62
2017,May,8,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.25
2017,May,8,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.73
2017,May,8,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.01
2017,May,8,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.78
2017,May,8,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.18
2017,May,8,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.39
2017,May,8,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.56
2017,May,8,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.52
2017,May,8,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.68
2017,May,9,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.36
2017,May,9,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.96
2017,May,9,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.82
2017,May,9,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.82
2017,May,9,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.61
2017,May,9,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.32
2017,May,9,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.29
2017,May,9,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.18
2017,May,9,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,5.59
2017,May,9,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,6.46
2017,May,9,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.03
2017,May,9,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,7.71
2017,May,9,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,8.43
2017,May,9,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.28
2017,May,9,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.41
2017,May,9,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.98
2017,May,9,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.04
2017,May,9,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.3
2017,May,9,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.14
2017,May,9,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.07
2017,May,9,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.76
2017,May,9,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.5
