Year,Month,Day,Hour,Device_ID,Module_Key,INS
2016,December,7,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.045
2016,December,7,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.416
2016,December,7,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.803
2016,December,7,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.293
2016,December,7,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.796
2016,December,7,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.71
2016,December,7,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.742
2016,December,7,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.855
2016,December,7,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.603
2016,December,7,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.585
2016,December,7,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,24.161
2016,December,7,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.719
2016,December,7,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.684
2016,December,7,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.51
2016,December,7,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.398
2016,December,7,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.604
2016,December,7,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.413
2016,December,8,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.208
2016,December,8,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.511
2016,December,8,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.078
2016,December,8,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.838
2016,December,8,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.738
2016,December,8,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.812
2016,December,8,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.553
2016,December,8,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.522
2016,December,8,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.965
2016,December,8,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.947
2016,December,8,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.108
2016,December,8,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.738
2016,December,8,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.099
2016,December,8,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.651
2016,December,8,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.341
2016,December,8,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.451
2016,December,8,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.888
2016,December,8,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.624
2016,December,8,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.146
2016,December,8,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.621
2016,December,8,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.516
2016,December,8,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.433
2016,December,8,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.356
2016,December,8,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.343
2016,December,9,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.246
2016,December,9,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.151
2016,December,9,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.109
2016,December,9,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.057
2016,December,9,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.076
2016,December,9,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,19.987
2016,December,9,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.006
2016,December,9,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.003
2016,December,9,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.011
2016,December,9,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.314
2016,December,9,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.515
2016,December,9,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.496
2016,December,9,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.933
2016,December,9,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,22.301
2016,December,9,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,23.083
2016,December,9,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.616
2016,December,9,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.082
2016,December,9,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,21.169
2016,December,9,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.798
2016,December,9,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.57
2016,December,9,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.519
2016,December,9,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.319
2016,December,9,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.259
2016,December,9,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,20.089
2016,December,10,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,19.844
2016,December,10,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12,19.618
