Year,Month,Day,Hour,elec_consumption
2017,January,11,4,27
2017,January,11,5,29
2017,January,11,6,38
2017,January,11,7,41
2017,January,11,8,47
2017,January,11,9,61
2017,January,11,10,70
2017,January,11,11,74
2017,January,11,12,81
2017,January,11,13,75
2017,January,11,14,74
2017,January,11,15,71
2017,January,11,16,72
2017,January,11,17,72
2017,January,11,18,60
2017,January,11,19,54
2017,January,11,20,48
2017,January,11,21,42
2017,January,11,22,44
2017,January,11,23,40
2017,January,12,0,29
2017,January,12,1,28
2017,January,12,2,29
2017,January,12,3,28
2017,January,12,4,29
2017,January,12,5,30
2017,January,12,6,37
2017,January,12,7,44
2017,January,12,8,48
2017,January,12,9,63
2017,January,12,10,72
2017,January,12,11,76
2017,January,12,12,72
2017,January,12,13,73
2017,January,12,14,73
2017,January,12,15,77
2017,January,12,16,76
2017,January,12,17,78
2017,January,12,18,71
2017,January,12,19,60
2017,January,12,20,47
2017,January,12,21,44
2017,January,12,22,42
2017,January,12,23,37
2017,January,13,0,29
2017,January,13,1,29
2017,January,13,2,28
2017,January,13,3,28
2017,January,13,4,28
2017,January,13,5,29
2017,January,13,6,36
2017,January,13,7,42
2017,January,13,8,49
2017,January,13,9,58
2017,January,13,10,70
2017,January,13,11,73
2017,January,13,12,73
2017,January,13,13,74
2017,January,13,14,70
2017,January,13,15,72
2017,January,13,16,72
2017,January,13,17,72
2017,January,13,18,61
2017,January,13,19,53
2017,January,13,20,49
2017,January,13,21,41
2017,January,13,22,42
2017,January,13,23,36
2017,January,14,0,32
2017,January,14,1,29
2017,January,14,2,28
2017,January,14,3,28
2017,January,14,4,27
2017,January,14,5,28
2017,January,14,6,32
2017,January,20,16,92
2017,January,20,17,82
2017,January,20,18,75
2017,January,20,19,67
2017,January,20,20,57
2017,January,20,21,52
2017,January,20,22,47
2017,January,20,23,40
2017,January,21,0,30
2017,January,21,1,28
2017,January,21,2,28
2017,January,21,3,28
2017,January,21,4,27
2017,January,21,5,28
2017,January,21,6,30
2017,January,21,7,37
2017,January,21,8,42
2017,January,21,9,39
2017,January,21,10,40
2017,January,21,11,42
2017,January,21,12,43
2017,January,21,13,42
2017,January,21,14,46
2017,January,21,15,45
2017,January,21,16,44
2017,January,21,17,48
2017,January,21,18,50
2017,January,21,19,46
2017,January,21,20,46
2017,January,21,21,46
2017,January,21,22,45
2017,January,21,23,41
2017,January,22,0,32
2017,January,22,1,29
2017,January,22,2,29
2017,January,22,3,29
2017,January,22,4,27
2017,January,22,5,29
2017,January,22,6,34
2017,January,22,7,37
2017,January,22,8,36
2017,January,22,9,44
2017,January,22,10,39
2017,January,22,11,41
2017,January,22,12,44
2017,January,22,13,49
2017,January,22,14,50
2017,January,22,15,49
2017,January,22,16,51
2017,January,22,17,54
2017,January,22,18,52
2017,January,22,19,51
2017,January,22,20,47
2017,January,22,21,46
2017,January,22,22,47
2017,January,22,23,38
2017,January,23,0,30
2017,January,23,1,29
2017,January,23,2,27
2017,January,23,3,28
2017,January,23,4,27
2017,January,23,5,29
2017,January,23,6,34
2017,January,23,7,45
2017,January,23,8,49
2017,January,23,9,71
2017,January,23,10,85
2017,January,23,11,98
2017,January,23,12,101
2017,January,23,13,110
2017,January,23,14,109
2017,January,23,15,113
2017,January,23,16,109
2017,January,23,17,104
2017,January,23,18,90
2017,January,23,19,79
2017,January,23,20,69
2017,January,23,21,64
2017,January,23,22,55
2017,January,23,23,46
2017,January,24,0,34
2017,January,24,1,32
2017,January,24,2,30
2017,January,24,3,29
2017,January,24,4,29
2017,January,24,5,32
2017,January,24,6,37
2017,January,24,7,44
2017,January,24,8,55
2017,January,24,9,74
2017,January,24,10,101
2017,January,24,11,107
2017,January,24,12,109
2017,January,24,13,107
2017,January,24,14,106
2017,January,24,15,99
2017,January,24,16,107
2017,January,24,17,102
2017,January,24,18,91
2017,January,24,19,84
2017,January,24,20,76
2017,January,24,21,34
2017,January,27,7,44
2017,January,27,8,55
2017,January,27,9,67
2017,January,27,10,79
2017,January,27,11,83
2017,January,27,12,84
2017,January,27,13,89
2017,January,27,14,86
2017,January,27,15,91
2017,January,27,16,94
2017,January,27,17,89
2017,January,27,18,80
2017,January,27,19,71
2017,January,27,20,63
2017,January,27,21,54
2017,January,27,22,49
2017,January,27,23,43
2017,January,28,0,33
2017,January,28,1,32
2017,January,28,2,29
2017,January,28,3,28
2017,January,28,4,30
2017,January,28,5,28
2017,January,28,6,34
2017,January,28,7,39
2017,January,28,8,39
2017,January,28,9,40
2017,January,28,10,46
2017,January,28,11,46
2017,January,28,12,50
2017,January,28,13,49
2017,January,28,14,53
2017,January,28,15,56
2017,January,28,16,54
2017,January,28,17,49
2017,January,28,18,43
2017,January,28,19,46
2017,January,28,20,44
2017,January,28,21,43
2017,January,28,22,41
2017,January,28,23,37
2017,January,29,0,30
2017,January,29,1,29
2017,January,29,2,28
2017,January,29,3,28
2017,January,29,4,27
2017,January,29,5,27
2017,January,29,6,29
2017,February,2,7,41
2017,February,2,8,52
2017,February,2,9,67
2017,February,2,10,94
2017,February,2,11,94
2017,February,2,12,100
2017,February,2,13,105
2017,February,2,14,100
2017,February,2,15,97
2017,February,2,16,95
2017,February,2,17,95
2017,February,2,18,88
2017,February,2,19,80
2017,February,2,20,68
2017,February,2,21,60
2017,February,2,22,52
2017,February,2,23,41
2017,February,3,0,29
2017,February,3,1,25
2017,February,3,2,26
2017,February,3,3,26
2017,February,3,4,24
2017,February,3,5,27
2017,February,3,6,35
2017,February,3,7,41
2017,February,3,8,49
2017,February,3,9,66
2017,February,3,10,77
2017,February,3,11,84
2017,February,3,12,84
2017,February,3,13,90
2017,February,3,14,92
2017,February,3,15,95
2017,February,3,16,98
2017,February,3,17,89
2017,February,3,18,79
2017,February,3,19,69
2017,February,3,20,54
2017,February,3,21,51
2017,February,3,22,48
2017,February,3,23,43
2017,February,4,0,31
2017,February,4,1,32
2017,February,4,2,29
2017,February,4,3,32
2017,February,4,4,31
2017,February,4,5,31
2017,February,4,6,36
2017,February,4,7,41
2017,February,4,8,48
2017,February,4,9,45
2017,February,4,10,53
2017,February,4,11,48
2017,February,4,12,51
2017,February,4,13,52
2017,February,4,14,58
2017,February,4,15,56
2017,February,4,16,58
2017,February,4,17,62
2017,February,4,18,58
2017,February,4,19,56
2017,February,4,20,56
2017,February,4,21,53
2017,February,4,22,48
2017,February,4,23,47
2017,February,5,0,38
2017,February,5,1,35
2017,February,5,2,34
2017,February,5,3,35
2017,February,5,4,33
2017,February,5,5,34
2017,February,5,6,36
2017,February,5,7,43
2017,February,5,8,42
2017,February,5,9,41
2017,February,5,10,42
2017,February,5,11,44
2017,February,5,12,43
2017,February,5,13,45
2017,February,5,14,49
2017,February,5,15,53
2017,February,5,16,49
2017,February,5,17,54
2017,February,5,18,56
2017,February,5,19,50
2017,February,5,20,49
2017,February,5,21,46
2017,February,5,22,47
2017,February,5,23,43
2017,February,6,0,31
2017,February,6,1,31
2017,February,6,2,29
2017,February,6,3,27
2017,February,6,4,28
2017,February,6,5,31
2017,February,6,6,33
2017,February,6,7,44
2017,February,6,8,46
2017,February,6,9,66
2017,February,6,10,87
2017,February,6,11,84
2017,February,6,12,89
2017,February,6,13,95
2017,February,6,14,94
2017,February,6,15,95
2017,February,6,16,99
2017,February,6,17,98
2017,February,6,18,89
2017,February,6,19,75
2017,February,6,20,63
2017,February,6,21,58
2017,February,6,22,55
2017,February,6,23,40
2017,February,7,0,32
2017,February,7,1,28
2017,February,7,2,29
2017,February,7,3,28
2017,February,7,4,29
2017,February,7,5,28
2017,February,7,6,35
2017,February,7,7,46
2017,February,7,8,48
2017,February,7,9,67
2017,February,7,10,88
2017,February,7,11,90
2017,February,7,12,92
2017,February,7,13,95
2017,February,7,14,95
2017,February,7,15,93
2017,February,7,16,97
2017,February,7,17,93
2017,February,7,18,93
2017,February,7,19,79
2017,February,7,20,67
2017,February,7,21,55
2017,February,7,22,47
2017,February,7,23,37
2017,February,8,0,34
2017,February,8,1,33
2017,February,8,2,30
2017,February,8,3,30
2017,February,8,4,29
2017,February,8,5,31
2017,February,8,6,38
2017,February,8,7,49
2017,February,8,8,56
2017,February,8,9,77
2017,February,8,10,91
2017,February,8,11,93
2017,February,8,12,97
2017,February,8,13,98
2017,February,8,14,99
2017,February,8,15,92
2017,February,8,16,93
2017,February,8,17,94
2017,February,8,18,85
2017,February,8,19,70
2017,February,8,20,60
2017,February,8,21,57
2017,February,8,22,54
2017,February,8,23,47
2017,February,9,0,35
2017,February,9,1,36
2017,February,9,2,43
2017,February,9,3,42
2017,February,9,4,41
2017,February,9,5,43
2017,February,9,6,47
2017,February,9,7,49
2017,February,9,8,56
2017,February,9,9,72
2017,February,9,10,94
2017,February,9,11,97
2017,February,9,12,103
2017,February,9,13,103
2017,February,9,14,106
2017,February,9,15,109
2017,February,9,16,102
2017,February,9,17,96
2017,February,9,18,85
2017,February,9,19,70
2017,February,9,20,59
2017,February,9,21,56
2017,February,9,22,58
2017,February,9,23,42
2017,February,10,0,32
2017,February,10,1,30
2017,February,10,2,28
2017,February,10,3,30
2017,February,10,4,27
2017,February,10,5,29
2017,February,10,6,36
2017,February,10,7,47
2017,February,10,8,54
2017,February,10,9,72
2017,February,10,10,87
2017,February,10,11,89
2017,February,10,12,94
2017,February,10,13,100
2017,February,10,14,98
2017,February,10,15,100
2017,February,10,16,101
2017,February,10,17,96
2017,February,10,18,83
2017,February,10,19,72
2017,February,10,20,62
2017,February,10,21,59
2017,February,10,22,52
2017,February,10,23,45
2017,February,11,0,33
2017,February,11,1,29
2017,February,11,2,28
2017,February,11,3,28
2017,February,11,4,27
2017,February,11,5,39
2017,February,11,6,43
2017,February,11,7,40
2017,February,11,8,46
2017,February,11,9,50
2017,February,11,10,57
2017,February,11,11,55
2017,February,11,12,55
2017,February,11,13,53
2017,February,11,14,60
2017,February,11,15,61
2017,February,11,16,58
2017,February,11,17,57
2017,February,11,18,58
2017,February,11,19,57
2017,February,11,20,58
2017,February,11,21,55
2017,February,11,22,48
2017,February,11,23,43
2017,February,12,0,32
2017,February,12,1,35
2017,February,12,2,31
2017,February,12,3,29
2017,February,12,4,30
2017,February,12,5,28
2017,February,12,6,33
2017,February,12,7,43
2017,February,12,8,45
2017,February,12,9,44
2017,February,12,10,48
2017,February,12,11,49
2017,February,12,12,54
2017,February,12,13,57
2017,February,12,14,60
2017,February,12,15,64
2017,February,12,16,61
2017,February,12,17,60
2017,February,12,18,68
2017,February,12,19,58
2017,February,12,20,53
2017,February,12,21,47
2017,February,12,22,46
2017,February,12,23,43
2017,February,13,0,29
2017,February,13,1,27
2017,February,13,2,27
2017,February,13,3,27
2017,February,13,4,26
2017,February,13,5,30
2017,February,13,6,38
2017,February,13,7,56
2017,February,13,8,62
2017,February,13,9,75
2017,February,13,10,90
2017,February,13,11,97
2017,February,13,12,93
2017,February,13,13,95
2017,February,13,14,101
2017,February,13,15,101
2017,February,13,16,97
2017,February,13,17,99
2017,February,13,18,91
2017,February,13,19,85
2017,February,13,20,70
2017,February,13,21,64
2017,February,13,22,55
2017,February,13,23,48
2017,February,14,0,32
2017,February,14,1,31
2017,February,14,2,29
2017,February,14,3,29
2017,February,14,4,28
2017,February,14,5,30
2017,February,14,6,38
2017,February,14,7,54
2017,February,14,8,63
2017,February,14,9,83
2017,February,14,10,92
2017,February,14,11,95
2017,February,14,12,100
2017,February,14,13,100
2017,February,14,14,101
2017,February,14,15,99
2017,February,14,16,99
2017,February,14,17,99
2017,February,14,18,93
2017,February,14,19,91
2017,February,14,20,74
2017,February,14,21,69
2017,February,14,22,60
2017,February,14,23,51
2017,February,15,0,35
2017,February,15,1,30
2017,February,15,2,29
2017,February,15,3,28
2017,February,15,4,28
2017,February,15,5,28
2017,February,15,6,38
2017,February,15,7,58
2017,February,15,8,64
2017,February,15,9,77
2017,February,15,10,89
2017,February,15,11,97
2017,February,15,12,99
2017,February,15,13,104
2017,February,15,14,100
2017,February,15,15,97
2017,February,15,16,102
2017,February,15,17,95
2017,February,15,18,85
2017,February,15,19,79
2017,February,15,20,66
2017,February,15,21,58
2017,February,15,22,60
2017,February,15,23,45
2017,February,16,0,31
2017,February,16,1,30
2017,February,16,2,30
2017,February,16,3,30
2017,February,16,4,29
2017,February,16,5,28
2017,February,16,6,39
2017,February,16,7,54
2017,February,16,8,65
2017,February,16,9,76
2017,February,16,10,90
2017,February,16,11,92
2017,February,16,12,95
2017,February,16,13,99
2017,February,16,14,100
2017,February,16,15,100
2017,February,16,16,96
2017,February,16,17,97
2017,February,16,18,90
2017,February,16,19,82
2017,February,16,20,73
2017,February,16,21,65
2017,February,16,22,58
2017,February,16,23,45
2017,February,17,0,30
2017,February,17,1,31
2017,February,17,2,30
2017,February,17,3,28
