,timestamp,id,metadata_id,consumption,meter_reading
89148,2017-04-26 13:30:00,64,102,42,5685638
89159,2017-04-26 15:30:00,68,102,41,5685806
89170,2017-04-26 17:30:00,72,102,34,5685953
89177,2017-04-26 18:00:00,73,102,31,5685987
89188,2017-04-26 20:00:00,77,102,29,5686110
89199,2017-04-26 22:00:00,81,102,19,5686213
89210,2017-04-27 00:00:00,85,102,13,5686276
89221,2017-04-27 02:00:00,89,102,13,5686325
89232,2017-04-27 04:00:00,93,102,13,5686373
89243,2017-04-27 06:00:00,97,102,24,5686436
89253,2017-04-27 08:00:00,101,102,30,5686538
89262,2017-04-27 10:00:00,105,102,36,5686674
89271,2017-04-27 12:00:00,109,102,39,5686827
89280,2017-04-27 14:00:00,113,102,39,5686983
89289,2017-04-27 16:00:00,117,102,36,5687138
89298,2017-04-27 18:00:00,121,102,29,5687279
89307,2017-04-27 20:00:00,125,102,27,5687390
89316,2017-04-27 22:00:00,129,102,20,5687490
89325,2017-04-28 00:00:00,133,102,13,5687557
89336,2017-04-26 18:30:00,74,102,31,5686018
89347,2017-04-26 20:30:00,78,102,27,5686139
89358,2017-04-26 22:30:00,82,102,18,5686232
89369,2017-04-27 00:30:00,86,102,12,5686289
89380,2017-04-27 02:30:00,90,102,12,5686338
89391,2017-04-27 04:30:00,94,102,13,5686386
89402,2017-04-27 06:30:00,98,102,23,5686460
89410,2017-04-27 08:30:00,102,102,34,5686568
89419,2017-04-27 10:30:00,106,102,38,5686710
89428,2017-04-27 12:30:00,110,102,39,5686866
89437,2017-04-27 14:30:00,114,102,39,5687022
89446,2017-04-27 16:30:00,118,102,38,5687174
89455,2017-04-27 18:30:00,122,102,29,5687308
89464,2017-04-27 20:30:00,126,102,26,5687417
89473,2017-04-27 22:30:00,130,102,18,5687510
89482,2017-04-28 00:30:00,134,102,16,5687570
89495,2017-04-26 19:30:00,76,102,31,5686079
89506,2017-04-26 21:30:00,80,102,24,5686189
89517,2017-04-26 23:30:00,84,102,13,5686263
89528,2017-04-27 01:30:00,88,102,12,5686313
89538,2017-04-27 03:30:00,92,102,12,5686361
89549,2017-04-27 05:30:00,96,102,19,5686417
89560,2017-04-27 07:30:00,100,102,31,5686507
89569,2017-04-27 09:30:00,104,102,37,5686637
89578,2017-04-27 11:30:00,108,102,39,5686788
89587,2017-04-27 13:30:00,112,102,40,5686943
89596,2017-04-27 15:30:00,116,102,38,5687100
89605,2017-04-27 17:30:00,120,102,32,5687247
89614,2017-04-27 19:30:00,124,102,24,5687366
89623,2017-04-27 21:30:00,128,102,23,5687467
89632,2017-04-27 23:30:00,132,102,15,5687542
89641,2017-04-28 01:30:00,136,102,13,5687600
89650,2017-04-26 19:00:00,75,102,30,5686049
89661,2017-04-26 21:00:00,79,102,23,5686166
89672,2017-04-26 23:00:00,83,102,13,5686250
89683,2017-04-27 01:00:00,87,102,12,5686301
89693,2017-04-27 03:00:00,91,102,11,5686350
89704,2017-04-27 05:00:00,95,102,18,5686399
89715,2017-04-27 07:00:00,99,102,24,5686483
89724,2017-04-27 09:00:00,103,102,35,5686602
89733,2017-04-27 11:00:00,107,102,40,5686748
89742,2017-04-27 13:00:00,111,102,38,5686905
89751,2017-04-27 15:00:00,115,102,39,5687061
89760,2017-04-27 17:00:00,119,102,35,5687212
89769,2017-04-27 19:00:00,123,102,29,5687337
89778,2017-04-27 21:00:00,127,102,24,5687443
89787,2017-04-27 23:00:00,131,102,14,5687528
89796,2017-04-28 01:00:00,135,102,14,5687586
89805,2017-04-28 03:00:00,139,102,14,5687640
89814,2017-04-28 05:00:00,143,102,15,5687694
90121,2017-04-28 03:30:00,140,102,14,5687654
90130,2017-04-28 05:30:00,144,102,20,5687709
90276,2017-04-28 02:00:00,137,102,13,5687613
90285,2017-04-28 04:00:00,141,102,13,5687668
92474,2017-04-28 02:30:00,138,102,14,5687626
92483,2017-04-28 04:30:00,142,102,13,5687681
32707,2016-12-01 01:30:00,1073,102,14,5503142
32735,2016-12-01 03:30:00,1077,102,14,5503200
32763,2016-12-01 05:30:00,1081,102,16,5503257
32791,2016-12-01 07:30:00,1085,102,23,5503331
32821,2016-12-01 09:30:00,1089,102,42,5503454
32851,2016-12-01 11:30:00,1093,102,51,5503634
32881,2016-12-01 13:30:00,1097,102,53,5503845
32912,2016-12-01 15:30:00,2,102,54,5504059
32946,2016-12-01 17:30:00,6,102,48,5504270
33011,2016-12-01 00:30:00,1071,102,15,5503111
33039,2016-12-01 02:30:00,1075,102,13,5503171
33067,2016-12-01 04:30:00,1079,102,14,5503228
33095,2016-12-01 06:30:00,1083,102,19,5503289
33123,2016-12-01 08:30:00,1087,102,31,5503383
33140,2016-12-01 19:30:00,10,102,42,5504453
33179,2016-12-01 21:30:00,14,102,32,5504601
33218,2016-12-01 23:30:00,18,102,21,5504718
33257,2016-12-02 01:30:00,22,102,13,5504786
33329,2016-12-01 01:00:00,1072,102,16,5503126
33357,2016-12-01 03:00:00,1076,102,16,5503184
33385,2016-12-01 05:00:00,1080,102,15,5503242
33413,2016-12-01 07:00:00,1084,102,23,5503308
33474,2016-12-01 00:00:00,1070,102,17,5503094
33502,2016-12-01 02:00:00,1074,102,15,5503156
33530,2016-12-01 04:00:00,1078,102,14,5503214
33558,2016-12-01 06:00:00,1082,102,16,5503273
33586,2016-12-01 08:00:00,1086,102,29,5503354
33624,2016-12-01 10:30:00,1091,102,48,5503540
33654,2016-12-01 12:30:00,1095,102,55,5503736
33684,2016-12-01 14:30:00,1099,102,57,5503951
33716,2016-12-01 16:30:00,4,102,54,5504166
33752,2016-12-01 18:30:00,8,102,46,5504364
33767,2016-12-02 03:30:00,26,102,14,5504840
33806,2016-12-02 05:30:00,30,102,16,5504897
33845,2016-12-02 07:30:00,34,102,23,5504972
33884,2016-12-02 09:30:00,38,102,41,5505093
33913,2016-12-01 09:00:00,1088,102,40,5503414
33943,2016-12-01 11:00:00,1092,102,46,5503588
33973,2016-12-01 13:00:00,1096,102,54,5503791
34003,2016-12-01 15:00:00,1,102,51,5504008
34036,2016-12-01 17:00:00,5,102,50,5504220
