,param_name,param_type,param_value,timestamp,device_id,module_key
532527,V,1,20.120853,2017-04-01 03:38:59.900000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
532528,V,1,20.593399,2017-04-03 19:38:59.597000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
552424,V,1,20.085848,2017-04-01 03:49:00.147000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
553880,V,1,19.298271,2017-04-02 03:09:01,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
571723,V,1,20.068348,2017-04-01 03:58:59.433000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
590308,V,1,20.418383,2017-04-05 12:09:01.263000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
590604,V,1,20.532141,2017-04-03 19:49:04.110000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
611582,V,1,20.042095,2017-04-01 04:08:59.200000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
614329,V,1,19.254517,2017-04-02 03:19:01.393000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
627842,V,1,19.210762,2017-04-02 03:29:00.797000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
628671,V,1,20.497141,2017-04-05 12:19:01.243000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
629596,V,1,20.479637,2017-04-03 19:59:00.110000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
648261,V,1,20.024593,2017-04-01 04:18:59.720000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
675049,V,1,19.175758,2017-04-02 03:39:00.890000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
684636,V,1,19.998341,2017-04-01 04:28:59.117000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
684637,V,1,20.427132,2017-04-03 20:09:02.287000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
685478,V,1,19.158258,2017-04-02 03:49:00.883000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
685655,V,1,20.567144,2017-04-05 12:29:01.050000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
724087,V,1,20.610899,2017-04-05 12:39:01.237000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
725818,V,1,19.123253,2017-04-02 03:58:59.153000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
744665,V,1,20.365879,2017-04-03 20:19:00.133000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
744666,V,1,20.645905,2017-04-05 12:49:02.047000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
762326,V,1,19.0795,2017-04-02 04:09:01.127000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
765626,V,1,19.980839,2017-04-01 04:38:59.153000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
781567,V,1,20.322124,2017-04-03 20:28:59.413000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
781568,V,1,20.672157,2017-04-05 12:58:59.197000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
802039,V,1,19.954586,2017-04-01 04:49:00.263000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
813525,V,1,19.035746,2017-04-02 04:19:01.407000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
820075,V,1,18.974491,2017-04-02 04:29:01.097000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
