Year,Month,Day,Hour,heat_consumption
2017,January,13,0,1
2017,January,13,1,1
2017,January,13,2,1
2017,January,13,3,1
2017,January,13,4,0
2017,January,13,5,9
2017,January,13,6,104
2017,January,13,7,390
2017,January,13,8,323
2017,January,13,9,340
2017,January,13,10,303
2017,January,13,11,289
2017,January,13,12,289
2017,January,13,13,274
2017,January,13,14,274
2017,January,13,15,286
2017,January,13,16,287
2017,January,13,17,274
2017,January,13,18,275
2017,January,13,19,268
2017,January,13,20,257
2017,January,13,21,260
2017,January,13,22,270
2017,January,13,23,211
2017,January,14,0,1
2017,January,14,1,1
2017,January,14,2,2
2017,January,14,3,2
2017,January,14,4,0
2017,January,14,5,1
2017,January,14,6,13
2017,January,20,16,225
2017,January,20,17,246
2017,January,20,18,241
2017,January,20,19,228
2017,January,20,20,234
2017,January,20,21,233
2017,January,20,22,235
2017,January,20,23,191
2017,January,21,0,1
2017,January,21,1,1
2017,January,21,2,2
2017,January,21,3,1
2017,January,21,4,0
2017,January,21,5,2
2017,January,21,6,57
2017,January,21,7,259
2017,January,21,8,236
2017,January,21,9,244
2017,January,21,10,266
2017,January,21,11,271
2017,January,21,12,253
2017,January,21,13,249
2017,January,21,14,241
2017,January,21,15,243
2017,January,21,16,242
2017,January,21,17,240
2017,January,21,18,242
2017,January,21,19,244
2017,January,21,20,240
2017,January,21,21,237
2017,January,21,22,239
2017,January,21,23,194
2017,January,22,0,4
2017,January,22,1,3
2017,January,22,2,2
2017,January,22,3,2
2017,January,22,4,3
2017,January,22,5,5
2017,January,22,6,113
2017,January,22,7,424
2017,January,22,8,302
2017,January,22,9,269
2017,January,22,10,261
2017,January,22,11,260
2017,January,22,12,253
2017,January,22,13,253
2017,January,22,14,252
2017,January,22,15,247
2017,January,22,16,250
2017,January,22,17,245
2017,January,22,18,252
2017,January,22,19,257
2017,January,22,20,254
2017,January,22,21,252
2017,January,22,22,251
2017,January,22,23,200
2017,January,23,0,3
2017,January,23,1,4
2017,January,23,2,3
2017,January,23,3,3
2017,January,23,4,2
2017,January,23,5,3
2017,January,23,6,116
2017,January,23,7,433
2017,January,23,8,354
2017,January,23,9,331
2017,January,23,10,325
2017,January,23,11,308
2017,January,23,12,294
2017,January,23,13,299
2017,January,23,14,299
2017,January,23,15,288
2017,January,23,16,284
2017,January,23,17,289
2017,January,23,18,277
2017,January,23,19,263
2017,January,23,20,259
2017,January,23,21,262
2017,January,23,22,262
2017,January,23,23,212
2017,January,24,0,3
2017,January,24,1,5
2017,January,24,2,4
2017,January,24,3,3
2017,January,24,4,2
2017,January,24,5,4
2017,January,24,6,117
2017,January,24,7,423
2017,January,24,8,349
2017,January,24,9,319
2017,January,24,10,302
