Year of Timestamp,Month of Timestamp,Day of Timestamp,Hour of Timestamp,elec_consumption
2017,January,11,19,27
2017,January,11,20,24
2017,January,11,21,21
2017,January,11,22,22
2017,January,11,23,20
2017,January,12,0,14.5
2017,January,12,1,14
2017,January,12,2,14.5
2017,January,12,3,14
2017,January,12,4,14.5
2017,January,12,5,15
2017,January,12,6,18.5
2017,January,12,7,22
2017,January,12,8,24
2017,January,12,9,31.5
2017,January,12,10,36
2017,January,12,11,38
2017,January,12,12,36
2017,January,12,13,36.5
2017,January,12,14,36.5
2017,January,12,15,38.5
2017,January,12,16,38
2017,January,12,17,39
2017,January,12,18,35.5
2017,January,12,19,30
2017,January,12,20,23.5
2017,January,12,21,22
2017,January,12,22,21
2017,January,12,23,18.5
2017,January,13,0,14.5
2017,January,13,1,14.5
2017,January,13,2,14
2017,January,13,3,14
2017,January,13,4,14
2017,January,13,5,14.5
2017,January,13,6,18
2017,January,13,7,21
2017,January,13,8,24.5
2017,January,13,9,29
2017,January,13,10,35
2017,January,13,11,36.5
2017,January,13,12,36.5
2017,January,13,13,37
2017,January,13,14,35
2017,January,13,15,36
2017,January,13,16,36
2017,January,13,17,36
2017,January,13,18,30.5
2017,January,13,19,26.5
2017,January,13,20,24.5
2017,January,13,21,20.5
2017,January,13,22,21
2017,January,13,23,18
2017,January,14,0,16
2017,January,14,1,14.5
2017,January,14,2,14
2017,January,14,3,14
2017,January,14,4,13.5
2017,January,14,5,14
2017,January,14,6,16
2017,January,20,16,46
2017,January,20,17,41
2017,January,20,18,37.5
2017,January,20,19,33.5
2017,January,20,20,28.5
2017,January,20,21,26
2017,January,20,22,23.5
2017,January,20,23,20
2017,January,21,0,15
2017,January,21,1,14
2017,January,21,2,14
2017,January,21,3,14
2017,January,21,4,13.5
2017,January,21,5,14
2017,January,21,6,15
2017,January,21,7,18.5
2017,January,21,8,21
2017,January,21,9,19.5
2017,January,21,10,20
2017,January,21,11,21
2017,January,21,12,21.5
2017,January,21,13,21
2017,January,21,14,23
2017,January,21,15,22.5
2017,January,21,16,22
2017,January,21,17,24
2017,January,21,18,25
2017,January,21,19,23
2017,January,21,20,23
2017,January,21,21,23
2017,January,21,22,22.5
2017,January,21,23,20.5
2017,January,22,0,16
2017,January,22,1,14.5
2017,January,22,2,14.5
2017,January,22,3,14.5
2017,January,22,4,13.5
2017,January,22,5,14.5
2017,January,22,6,17
2017,January,22,7,18.5
2017,January,22,8,18
2017,January,22,9,22
2017,January,22,10,19.5
2017,January,22,11,20.5
2017,January,22,12,22
2017,January,22,13,24.5
2017,January,22,14,25
2017,January,22,15,24.5
2017,January,22,16,25.5
2017,January,22,17,27
2017,January,22,18,26
2017,January,22,19,25.5
2017,January,22,20,23.5
2017,January,22,21,23
2017,January,22,22,23.5
2017,January,22,23,19
2017,January,23,0,15
2017,January,23,1,14.5
2017,January,23,2,13.5
2017,January,23,3,14
2017,January,23,4,13.5
2017,January,23,5,14.5
2017,January,23,6,17
2017,January,23,7,22.5
2017,January,23,8,24.5
2017,January,23,9,35.5
2017,January,23,10,42.5
2017,January,23,11,49
2017,January,23,12,50.5
2017,January,23,13,55
2017,January,23,14,54.5
2017,January,23,15,56.5
2017,January,23,16,54.5
2017,January,23,17,52
2017,January,23,18,45
2017,January,23,19,39.5
2017,January,23,20,34.5
2017,January,23,21,32
2017,January,23,22,27.5
2017,January,23,23,23
2017,January,24,0,17
2017,January,24,1,16
2017,January,24,2,15
2017,January,24,3,14.5
2017,January,24,4,14.5
2017,January,24,5,16
2017,January,24,6,18.5
2017,January,24,7,22
2017,January,24,8,27.5
2017,January,24,9,37
2017,January,24,10,50.5
2017,January,24,11,53.5
2017,January,24,12,54.5
2017,January,24,13,53.5
2017,January,24,14,53
2017,January,24,15,49.5
2017,January,24,16,53.5
2017,January,24,17,51
2017,January,24,18,45.5
2017,January,24,19,42
2017,January,24,20,38
2017,January,24,21,34
2017,January,27,7,22
2017,January,27,8,27.5
2017,January,27,9,33.5
2017,January,27,10,39.5
2017,January,27,11,41.5
2017,January,27,12,42
2017,January,27,13,44.5
2017,January,27,14,43
2017,January,27,15,45.5
2017,January,27,16,47
2017,January,27,17,44.5
2017,January,27,18,40
2017,January,27,19,35.5
2017,January,27,20,31.5
2017,January,27,21,27
2017,January,27,22,24.5
2017,January,27,23,21.5
2017,January,28,0,16.5
2017,January,28,1,16
2017,January,28,2,14.5
2017,January,28,3,14
2017,January,28,4,15
2017,January,28,5,14
2017,January,28,6,17
2017,January,28,7,19.5
2017,January,28,8,19.5
2017,January,28,9,20
2017,January,28,10,23
2017,January,28,11,23
2017,January,28,12,25
2017,January,28,13,24.5
2017,January,28,14,26.5
2017,January,28,15,28
2017,January,28,16,27
2017,January,28,17,24.5
2017,January,28,18,21.5
2017,January,28,19,23
2017,January,28,20,22
2017,January,28,21,21.5
2017,January,28,22,20.5
2017,January,28,23,18.5
2017,January,29,0,15
2017,January,29,1,14.5
2017,January,29,2,14
2017,January,29,3,14
2017,January,29,4,13.5
2017,January,29,5,13.5
2017,January,29,6,14.5
2017,February,2,7,20.5
2017,February,2,8,26
2017,February,2,9,33.5
2017,February,2,10,47
2017,February,2,11,47
2017,February,2,12,50
2017,February,2,13,52.5
2017,February,2,14,50
2017,February,2,15,48.5
2017,February,2,16,47.5
2017,February,2,17,47.5
2017,February,2,18,44
2017,February,2,19,40
2017,February,2,20,34
2017,February,2,21,30
2017,February,2,22,26
2017,February,2,23,20.5
2017,February,3,0,14.5
2017,February,3,1,12.5
2017,February,3,2,13
2017,February,3,3,13
2017,February,3,4,12
2017,February,3,5,13.5
2017,February,3,6,17.5
2017,February,3,7,20.5
2017,February,3,8,24.5
2017,February,3,9,33
2017,February,3,10,38.5
2017,February,3,11,42
2017,February,3,12,42
2017,February,3,13,45
2017,February,3,14,46
2017,February,3,15,47.5
2017,February,3,16,49
2017,February,3,17,44.5
2017,February,3,18,39.5
2017,February,3,19,34.5
2017,February,3,20,27
2017,February,3,21,25.5
2017,February,3,22,24
2017,February,3,23,21.5
2017,February,4,0,15.5
2017,February,4,1,16
2017,February,4,2,14.5
2017,February,4,3,16
2017,February,4,4,15.5
2017,February,4,5,15.5
2017,February,4,6,18
2017,February,4,7,20.5
2017,February,4,8,24
2017,February,4,9,22.5
2017,February,4,10,26.5
2017,February,4,11,24
2017,February,4,12,25.5
2017,February,4,13,26
2017,February,4,14,29
2017,February,4,15,28
2017,February,4,16,29
2017,February,4,17,31
2017,February,4,18,29
2017,February,4,19,28
2017,February,4,20,28
2017,February,4,21,26.5
2017,February,4,22,24
2017,February,4,23,23.5
2017,February,5,0,19
2017,February,5,1,17.5
2017,February,5,2,17
2017,February,5,3,17.5
2017,February,5,4,16.5
2017,February,5,5,17
2017,February,5,6,18
2017,February,5,7,21.5
2017,February,5,8,21
2017,February,5,9,20.5
2017,February,5,10,21
2017,February,5,11,22
2017,February,5,12,21.5
2017,February,5,13,22.5
2017,February,5,14,24.5
2017,February,5,15,26.5
2017,February,5,16,24.5
2017,February,5,17,27
2017,February,5,18,28
2017,February,5,19,25
2017,February,5,20,24.5
2017,February,5,21,23
2017,February,5,22,23.5
2017,February,5,23,21.5
2017,February,6,0,15.5
2017,February,6,1,15.5
2017,February,6,2,14.5
2017,February,6,3,13.5
2017,February,6,4,14
2017,February,6,5,15.5
2017,February,6,6,16.5
2017,February,6,7,22
2017,February,6,8,23
2017,February,6,9,33
2017,February,6,10,43.5
2017,February,6,11,42
2017,February,6,12,44.5
2017,February,6,13,47.5
2017,February,6,14,47
2017,February,6,15,47.5
2017,February,6,16,49.5
2017,February,6,17,49
2017,February,6,18,44.5
2017,February,6,19,37.5
2017,February,6,20,31.5
2017,February,6,21,29
2017,February,6,22,27.5
2017,February,6,23,20
2017,February,7,0,16
2017,February,7,1,14
2017,February,7,2,14.5
2017,February,7,3,14
2017,February,7,4,14.5
2017,February,7,5,14
2017,February,7,6,17.5
2017,February,7,7,23
2017,February,7,8,24
2017,February,7,9,33.5
2017,February,7,10,44
2017,February,7,11,45
2017,February,7,12,46
2017,February,7,13,47.5
2017,February,7,14,47.5
2017,February,7,15,46.5
2017,February,7,16,48.5
2017,February,7,17,46.5
2017,February,7,18,46.5
2017,February,7,19,39.5
2017,February,7,20,33.5
2017,February,7,21,27.5
2017,February,7,22,23.5
2017,February,7,23,18.5
2017,February,8,0,17
2017,February,8,1,16.5
2017,February,8,2,15
2017,February,8,3,15
2017,February,8,4,14.5
2017,February,8,5,15.5
2017,February,8,6,19
2017,February,8,7,24.5
2017,February,8,8,28
2017,February,8,9,38.5
2017,February,8,10,45.5
2017,February,8,11,46.5
2017,February,8,12,48.5
2017,February,8,13,49
2017,February,8,14,49.5
2017,February,8,15,46
2017,February,8,16,46.5
2017,February,8,17,47
2017,February,8,18,42.5
2017,February,8,19,35
2017,February,8,20,30
2017,February,8,21,28.5
2017,February,8,22,27
2017,February,8,23,23.5
2017,February,9,0,17.5
2017,February,9,1,18
2017,February,9,2,21.5
2017,February,9,3,21
2017,February,9,4,20.5
2017,February,9,5,21.5
2017,February,9,6,23.5
2017,February,9,7,24.5
2017,February,9,8,28
2017,February,9,9,36
2017,February,9,10,47
2017,February,9,11,48.5
2017,February,9,12,51.5
2017,February,9,13,51.5
2017,February,9,14,53
2017,February,9,15,54.5
2017,February,9,16,51
2017,February,9,17,48
2017,February,9,18,42.5
2017,February,9,19,35
2017,February,9,20,29.5
2017,February,9,21,28
2017,February,9,22,29
2017,February,9,23,21
2017,February,10,0,16
2017,February,10,1,15
2017,February,10,2,14
2017,February,10,3,15
2017,February,10,4,13.5
2017,February,10,5,14.5
2017,February,10,6,18
2017,February,10,7,23.5
2017,February,10,8,27
2017,February,10,9,36
2017,February,10,10,43.5
2017,February,10,11,44.5
2017,February,10,12,47
2017,February,10,13,50
2017,February,10,14,49
2017,February,10,15,50
2017,February,10,16,50.5
2017,February,10,17,48
2017,February,10,18,41.5
2017,February,10,19,36
2017,February,10,20,31
2017,February,10,21,29.5
2017,February,10,22,26
2017,February,10,23,22.5
2017,February,11,0,16.5
2017,February,11,1,14.5
2017,February,11,2,14
2017,February,11,3,14
2017,February,11,4,13.5
2017,February,11,5,19.5
2017,February,11,6,21.5
2017,February,11,7,20
2017,February,11,8,23
2017,February,11,9,25
2017,February,11,10,28.5
2017,February,11,11,27.5
2017,February,11,12,27.5
2017,February,11,13,26.5
2017,February,11,14,30
2017,February,11,15,30.5
2017,February,11,16,29
2017,February,11,17,28.5
2017,February,11,18,29
2017,February,11,19,28.5
2017,February,11,20,29
2017,February,11,21,27.5
2017,February,11,22,24
2017,February,11,23,21.5
2017,February,12,0,16
2017,February,12,1,17.5
2017,February,12,2,15.5
2017,February,12,3,14.5
2017,February,12,4,15
2017,February,12,5,14
2017,February,12,6,16.5
2017,February,12,7,21.5
2017,February,12,8,22.5
2017,February,12,9,22
2017,February,12,10,24
2017,February,12,11,24.5
2017,February,12,12,27
2017,February,12,13,28.5
2017,February,12,14,30
2017,February,12,15,32
2017,February,12,16,30.5
2017,February,12,17,30
2017,February,12,18,34
2017,February,12,19,29
2017,February,12,20,26.5
2017,February,12,21,23.5
2017,February,12,22,23
2017,February,12,23,21.5
2017,February,13,0,14.5
2017,February,13,1,13.5
2017,February,13,2,13.5
2017,February,13,3,13.5
2017,February,13,4,13
2017,February,13,5,15
2017,February,13,6,19
2017,February,13,7,28
2017,February,13,8,31
2017,February,13,9,37.5
2017,February,13,10,45
2017,February,13,11,48.5
2017,February,13,12,46.5
2017,February,13,13,47.5
2017,February,13,14,50.5
2017,February,13,15,50.5
2017,February,13,16,48.5
2017,February,13,17,49.5
2017,February,13,18,45.5
2017,February,13,19,42.5
2017,February,13,20,35
2017,February,13,21,32
2017,February,13,22,27.5
2017,February,13,23,24
2017,February,14,0,16
2017,February,14,1,15.5
2017,February,14,2,14.5
2017,February,14,3,14.5
2017,February,14,4,14
2017,February,14,5,15
2017,February,14,6,19
2017,February,14,7,27
2017,February,14,8,31.5
2017,February,14,9,41.5
2017,February,14,10,46
2017,February,14,11,47.5
2017,February,14,12,50
2017,February,14,13,50
